iteration,phase,alpha_spd_final,alpha_final,spd_trials,quality_trials,rho,cond_chosen,step_norm_dtheta,step_norm_dA,trust_radius_old,trust_radius_new,trust_update_type,accept_step,current_compliance_before,actual_compliance,predicted_compliance,improvement_percent
1,A,1.0,1.0,1.000:ok:6.767e+03,1.000:1.000,1.0001441418944432,6767.210190586713,0.017453285901581995,0.07602798188951071,0.017453292519943295,0.026179938779914945,EXPAND,True,9950.76917911741,nan,nan,60.71450223158939
2,A,1.0,1.0,1.000:ok:9.126e+03,1.000:0.999,0.998615134378213,9126.21756928956,0.026179923220274546,0.0071104065260465124,0.026179938779914945,0.03490658503988659,EXPAND,True,3909.20920380186,nan,nan,0.8502739851858627
3,A,1.0,1.0,1.000:ok:9.235e+03,1.000:1.003,1.0031898735420905,9234.73904309277,0.03490657210198858,0.0036237123840096408,0.03490658503988659,0.03490658503988659,SAME,True,3875.9702149154414,nan,nan,1.0960914853033668
4,A,1.0,1.0,1.000:ok:9.289e+03,1.000:1.005,1.0049579195665395,9288.836470423119,0.03490655853151953,0.006709824505943816,0.03490658503988659,0.03490658503988659,SAME,True,3833.4860354168586,nan,nan,1.0834538679176098
5,A,1.0,1.0,1.000:ok:9.418e+03,1.000:1.005,1.0052606371071364,9417.627646446083,0.03490657165474311,0.0031960014322668278,0.03490658503988659,0.03490658503988659,SAME,True,3791.9519826900532,nan,nan,1.0678297713191152
6,A,1.0,1.0,1.000:ok:9.511e+03,1.000:1.005,1.0046832137366524,9510.682489689243,0.03490658241884313,0.00268244583676415,0.03490658503988659,0.03490658503988659,SAME,True,3751.4603905047634,nan,nan,1.0514415473789709
7,A,1.0,1.0,1.000:ok:9.491e+03,1.000:1.003,1.003061167219882,9490.932891162802,0.034906557842354316,0.00277635575283199,0.03490658503988659,0.03490658503988659,SAME,True,3712.015977325531,nan,nan,1.0354720733549756
8,A,1.0,1.0,1.000:ok:9.669e+03,1.000:1.003,1.003240396531454,9669.397237502832,0.03490658486604043,0.0023868222220826438,0.03490658503988659,0.03490658503988659,SAME,True,3673.5790885218503,nan,nan,1.018050788250561
9,A,1.0,1.0,1.000:ok:9.593e+03,1.000:1.003,1.0027865447790776,9592.690300222079,0.03490655034214573,0.0025555300744635875,0.03490658503988659,0.03490658503988659,SAME,True,3636.180187654146,nan,nan,1.0033529869049909
10,A,1.0,1.0,1.000:ok:8.797e+03,1.000:1.000,1.0003341170971642,8797.202792052558,0.03490648931878091,0.002090754277306094,0.03490658503988659,0.03490658503988659,SAME,True,3599.6964651320704,nan,nan,0.9815030736992062
11,A,1.0,1.0,1.000:ok:7.459e+03,1.000:1.000,0.9998073484776084,7458.8804375835625,0.0349065693691935,0.002156470645787981,0.03490658503988659,0.03490658503988659,SAME,True,3564.3653336829575,nan,nan,0.9455127652264071
12,A,1.0,1.0,1.000:ok:6.612e+03,1.000:0.995,0.995240253222586,6611.554993284927,0.034906581069254865,0.0036713324893832304,0.03490658503988659,0.03490658503988659,SAME,True,3530.6638044536803,nan,nan,0.881638448341283
13,A,1.0,1.0,1.000:ok:6.265e+03,1.000:0.992,0.9917577434568993,6265.443381965396,0.03490657543533115,0.005365893079089336,0.03490658503988659,0.03490658503988659,SAME,True,3499.5361148719476,nan,nan,0.8113652933035281
14,A,1.0,1.0,1.000:ok:5.332e+03,1.000:0.990,0.990440072139603,5332.211840120862,0.034906553817904695,0.002934902624403259,0.03490658503988659,0.03490658503988659,SAME,True,3471.142093409254,nan,nan,0.7447933202750007
15,A,1.0,1.0,1.000:ok:6.196e+03,1.000:0.986,0.9863057880714604,6196.051607797108,0.03490657643300039,0.002331505249457776,0.03490658503988659,0.03490658503988659,SAME,True,3445.289258960288,nan,nan,0.6848034858726583
16,A,1.0,1.0,1.000:ok:7.812e+03,1.000:0.983,0.9826555867985927,7811.642613638569,0.034906551551188,0.002405323076064358,0.03490658503988659,0.03490658503988659,SAME,True,3421.6957980165316,nan,nan,0.6230583549373121
